"locationID","latitude","longitude","datum"
"CalPoly",35.17,-120.741,"EPSG:4326 WGS84"
"MontereyWharf",36.603687,-121.889275,"EPSG:4326 WGS84"
"NewportPier",33.6061,-117.9311,"EPSG:4326 WGS84"
"SantaCruzWharf",36.958,-122.017,"EPSG:4326 WGS84"
"SantaMonicaPier",34.008,-118.499,"EPSG:4326 WGS84"
"ScrippsPier",32.867,-117.257,"EPSG:4326 WGS84"
"StearnsWharf",34.408,-119.685,"EPSG:4326 WGS84"
