"","cities","no3","po4","sio3","month","year","lm_al_r"
"1","CalPoly",-375.633632320585,6117.93780486659,-52.8055118059244,330.759461817018,NA,0.0443132719921924
"2","NewportPier",NA,1484.58645568326,NA,-62.7109671703084,NA,0.0246442054586513
"3","SantaMonicaPier",NA,NA,4.60681942353362,NA,3.99152542734077,0.0167177102912237
"4","ScrippsPier",NA,NA,NA,-9.52388026968331,-10.1593322408685,0.0323822177222955
"5","StearnsWharf",-38.0142480568417,458.181528438307,NA,NA,46.5936968185541,0.0130540297160956
