"","cities","no3","no2","sio3","month","year","temp","po4"
"1","CalPoly",2547.92981294316,-55271.8643913681,-1670.95253252765,3397.63295437621,-10255.7086722547,NA,NA
"2","NewportPier",5006.02069190393,-45449.4200246149,-2395.45729355133,NA,NA,-4097.10776433992,NA
"3","SantaMonicaPier",14089.8266690258,2852.32974631169,-2203.44942802351,NA,1140.45100124311,NA,NA
"4","ScrippsPier",2219.3782606236,NA,-2640.88091422432,NA,NA,-1501.36998812614,NA
"5","StearnsWharf",3023.97968918225,-45828.0592062109,-2013.05663103729,NA,-1537.44669738505,NA,12277.1662139896
