"id","eventID","eventDate","eventRemarks","locationID","countryCode","minimumDepthInMeters","maximumDepthInMeters","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters"
"HABs-CalPoly_2008-12-11T20:00:00Z","HABs-CalPoly_2008-12-11T20:00:00Z","2008-12-11T20:00:00Z","CP081211","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-12-15T20:00:00Z","HABs-CalPoly_2008-12-15T20:00:00Z","2008-12-15T20:00:00Z","CP081215","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-12-18T20:00:00Z","HABs-CalPoly_2008-12-18T20:00:00Z","2008-12-18T20:00:00Z","CP081218","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-12-22T20:00:00Z","HABs-CalPoly_2008-12-22T20:00:00Z","2008-12-22T20:00:00Z","CP081222","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-01-05T20:00:00Z","HABs-CalPoly_2009-01-05T20:00:00Z","2009-01-05T20:00:00Z","CP090105","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-01-08T20:00:00Z","HABs-CalPoly_2009-01-08T20:00:00Z","2009-01-08T20:00:00Z","CP090108","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-01-12T20:00:00Z","HABs-CalPoly_2009-01-12T20:00:00Z","2009-01-12T20:00:00Z","CP090112","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-01-15T20:00:00Z","HABs-CalPoly_2009-01-15T20:00:00Z","2009-01-15T20:00:00Z","CP090115","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-01-19T20:00:00Z","HABs-CalPoly_2009-01-19T20:00:00Z","2009-01-19T20:00:00Z","CP090119","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-01-22T20:00:00Z","HABs-CalPoly_2009-01-22T20:00:00Z","2009-01-22T20:00:00Z","CP090122","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-01-26T20:00:00Z","HABs-CalPoly_2009-01-26T20:00:00Z","2009-01-26T20:00:00Z","CP090126","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-01-29T20:00:00Z","HABs-CalPoly_2009-01-29T20:00:00Z","2009-01-29T20:00:00Z","CP090129","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-02-02T20:00:00Z","HABs-CalPoly_2009-02-02T20:00:00Z","2009-02-02T20:00:00Z","CP090202","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-02-05T20:00:00Z","HABs-CalPoly_2009-02-05T20:00:00Z","2009-02-05T20:00:00Z","CP090205","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-02-09T20:00:00Z","HABs-CalPoly_2009-02-09T20:00:00Z","2009-02-09T20:00:00Z","CP090209","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-02-12T20:00:00Z","HABs-CalPoly_2009-02-12T20:00:00Z","2009-02-12T20:00:00Z","CP090212","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-02-16T20:00:00Z","HABs-CalPoly_2009-02-16T20:00:00Z","2009-02-16T20:00:00Z","CP090216","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-02-19T20:00:00Z","HABs-CalPoly_2009-02-19T20:00:00Z","2009-02-19T20:00:00Z","CP090219","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-02-23T20:00:00Z","HABs-CalPoly_2009-02-23T20:00:00Z","2009-02-23T20:00:00Z","CP090223","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-02-26T20:00:00Z","HABs-CalPoly_2009-02-26T20:00:00Z","2009-02-26T20:00:00Z","CP090226","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-03-02T20:00:00Z","HABs-CalPoly_2009-03-02T20:00:00Z","2009-03-02T20:00:00Z","CP090302","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-03-05T20:00:00Z","HABs-CalPoly_2009-03-05T20:00:00Z","2009-03-05T20:00:00Z","CP090305","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-03-09T19:00:00Z","HABs-CalPoly_2009-03-09T19:00:00Z","2009-03-09T19:00:00Z","CP090309","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-03-12T19:00:00Z","HABs-CalPoly_2009-03-12T19:00:00Z","2009-03-12T19:00:00Z","CP090312","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-03-16T19:00:00Z","HABs-CalPoly_2009-03-16T19:00:00Z","2009-03-16T19:00:00Z","CP090316","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-03-19T19:00:00Z","HABs-CalPoly_2009-03-19T19:00:00Z","2009-03-19T19:00:00Z","CP090319","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-03-23T19:00:00Z","HABs-CalPoly_2009-03-23T19:00:00Z","2009-03-23T19:00:00Z","CP090323","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-03-26T19:00:00Z","HABs-CalPoly_2009-03-26T19:00:00Z","2009-03-26T19:00:00Z","CP090326","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-03-30T19:00:00Z","HABs-CalPoly_2009-03-30T19:00:00Z","2009-03-30T19:00:00Z","CP090330","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-04-02T19:00:00Z","HABs-CalPoly_2009-04-02T19:00:00Z","2009-04-02T19:00:00Z","CP090402","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-04-06T19:00:00Z","HABs-CalPoly_2009-04-06T19:00:00Z","2009-04-06T19:00:00Z","CP090406","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-04-09T19:00:00Z","HABs-CalPoly_2009-04-09T19:00:00Z","2009-04-09T19:00:00Z","CP090409","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-04-13T19:00:00Z","HABs-CalPoly_2009-04-13T19:00:00Z","2009-04-13T19:00:00Z","CP090413","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-04-16T19:00:00Z","HABs-CalPoly_2009-04-16T19:00:00Z","2009-04-16T19:00:00Z","CP090416","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-04-20T19:00:00Z","HABs-CalPoly_2009-04-20T19:00:00Z","2009-04-20T19:00:00Z","CP090420","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-04-23T19:00:00Z","HABs-CalPoly_2009-04-23T19:00:00Z","2009-04-23T19:00:00Z","CP090423","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-04-27T19:00:00Z","HABs-CalPoly_2009-04-27T19:00:00Z","2009-04-27T19:00:00Z","CP090427","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-04-30T19:00:00Z","HABs-CalPoly_2009-04-30T19:00:00Z","2009-04-30T19:00:00Z","CP090430","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-05-04T19:00:00Z","HABs-CalPoly_2009-05-04T19:00:00Z","2009-05-04T19:00:00Z","CP090504","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-05-07T19:00:00Z","HABs-CalPoly_2009-05-07T19:00:00Z","2009-05-07T19:00:00Z","CP090507","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-05-11T19:00:00Z","HABs-CalPoly_2009-05-11T19:00:00Z","2009-05-11T19:00:00Z","CP090511","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-05-14T19:00:00Z","HABs-CalPoly_2009-05-14T19:00:00Z","2009-05-14T19:00:00Z","CP090514","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-05-18T19:00:00Z","HABs-CalPoly_2009-05-18T19:00:00Z","2009-05-18T19:00:00Z","CP090518","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-05-21T19:00:00Z","HABs-CalPoly_2009-05-21T19:00:00Z","2009-05-21T19:00:00Z","CP090521","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-05-25T19:00:00Z","HABs-CalPoly_2009-05-25T19:00:00Z","2009-05-25T19:00:00Z","CP090525","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-05-28T19:00:00Z","HABs-CalPoly_2009-05-28T19:00:00Z","2009-05-28T19:00:00Z","CP090528","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-06-01T19:00:00Z","HABs-CalPoly_2009-06-01T19:00:00Z","2009-06-01T19:00:00Z","CP090601","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-06-04T19:00:00Z","HABs-CalPoly_2009-06-04T19:00:00Z","2009-06-04T19:00:00Z","CP090604","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-06-08T19:00:00Z","HABs-CalPoly_2009-06-08T19:00:00Z","2009-06-08T19:00:00Z","CP090608","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-06-11T19:00:00Z","HABs-CalPoly_2009-06-11T19:00:00Z","2009-06-11T19:00:00Z","CP090611","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-06-15T19:00:00Z","HABs-CalPoly_2009-06-15T19:00:00Z","2009-06-15T19:00:00Z","CP090615","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-06-18T19:00:00Z","HABs-CalPoly_2009-06-18T19:00:00Z","2009-06-18T19:00:00Z","CP090618","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-06-22T19:00:00Z","HABs-CalPoly_2009-06-22T19:00:00Z","2009-06-22T19:00:00Z","CP090622","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-06-25T19:00:00Z","HABs-CalPoly_2009-06-25T19:00:00Z","2009-06-25T19:00:00Z","CP090625","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-06-29T19:00:00Z","HABs-CalPoly_2009-06-29T19:00:00Z","2009-06-29T19:00:00Z","CP090629","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-07-02T19:00:00Z","HABs-CalPoly_2009-07-02T19:00:00Z","2009-07-02T19:00:00Z","CP090702","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-07-06T19:00:00Z","HABs-CalPoly_2009-07-06T19:00:00Z","2009-07-06T19:00:00Z","CP090706","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-07-09T19:00:00Z","HABs-CalPoly_2009-07-09T19:00:00Z","2009-07-09T19:00:00Z","CP090709","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-07-13T19:00:00Z","HABs-CalPoly_2009-07-13T19:00:00Z","2009-07-13T19:00:00Z","CP090713","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-07-16T19:00:00Z","HABs-CalPoly_2009-07-16T19:00:00Z","2009-07-16T19:00:00Z","CP090716","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-07-20T19:00:00Z","HABs-CalPoly_2009-07-20T19:00:00Z","2009-07-20T19:00:00Z","CP090720","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-07-23T19:00:00Z","HABs-CalPoly_2009-07-23T19:00:00Z","2009-07-23T19:00:00Z","CP090723","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-07-27T19:00:00Z","HABs-CalPoly_2009-07-27T19:00:00Z","2009-07-27T19:00:00Z","CP090727","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-07-30T19:00:00Z","HABs-CalPoly_2009-07-30T19:00:00Z","2009-07-30T19:00:00Z","CP090730","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-08-03T19:00:00Z","HABs-CalPoly_2009-08-03T19:00:00Z","2009-08-03T19:00:00Z","CP090803","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-08-06T19:00:00Z","HABs-CalPoly_2009-08-06T19:00:00Z","2009-08-06T19:00:00Z","CP090806","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-08-10T19:00:00Z","HABs-CalPoly_2009-08-10T19:00:00Z","2009-08-10T19:00:00Z","CP090810","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-08-13T19:00:00Z","HABs-CalPoly_2009-08-13T19:00:00Z","2009-08-13T19:00:00Z","CP090813","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-08-17T19:00:00Z","HABs-CalPoly_2009-08-17T19:00:00Z","2009-08-17T19:00:00Z","CP090817","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-08-20T19:00:00Z","HABs-CalPoly_2009-08-20T19:00:00Z","2009-08-20T19:00:00Z","CP090820","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-08-24T19:00:00Z","HABs-CalPoly_2009-08-24T19:00:00Z","2009-08-24T19:00:00Z","CP090824","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-08-27T19:00:00Z","HABs-CalPoly_2009-08-27T19:00:00Z","2009-08-27T19:00:00Z","CP090827","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-08-31T19:00:00Z","HABs-CalPoly_2009-08-31T19:00:00Z","2009-08-31T19:00:00Z","CP090831","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-09-03T19:00:00Z","HABs-CalPoly_2009-09-03T19:00:00Z","2009-09-03T19:00:00Z","CP090903","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-09-07T19:00:00Z","HABs-CalPoly_2009-09-07T19:00:00Z","2009-09-07T19:00:00Z","CP090907","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-09-10T19:00:00Z","HABs-CalPoly_2009-09-10T19:00:00Z","2009-09-10T19:00:00Z","CP090910","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-09-14T19:00:00Z","HABs-CalPoly_2009-09-14T19:00:00Z","2009-09-14T19:00:00Z","CP090914","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-09-17T19:00:00Z","HABs-CalPoly_2009-09-17T19:00:00Z","2009-09-17T19:00:00Z","CP090917","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-09-21T19:00:00Z","HABs-CalPoly_2009-09-21T19:00:00Z","2009-09-21T19:00:00Z","CP090921","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-09-24T19:00:00Z","HABs-CalPoly_2009-09-24T19:00:00Z","2009-09-24T19:00:00Z","CP090924","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-09-28T19:00:00Z","HABs-CalPoly_2009-09-28T19:00:00Z","2009-09-28T19:00:00Z","CP090928","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-10-01T19:00:00Z","HABs-CalPoly_2009-10-01T19:00:00Z","2009-10-01T19:00:00Z","CP091001","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-10-05T19:00:00Z","HABs-CalPoly_2009-10-05T19:00:00Z","2009-10-05T19:00:00Z","CP091005","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-10-12T19:00:00Z","HABs-CalPoly_2009-10-12T19:00:00Z","2009-10-12T19:00:00Z","CP091012","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-10-19T19:00:00Z","HABs-CalPoly_2009-10-19T19:00:00Z","2009-10-19T19:00:00Z","CP091019","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-10-26T19:00:00Z","HABs-CalPoly_2009-10-26T19:00:00Z","2009-10-26T19:00:00Z","CP091026","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-11-02T20:00:00Z","HABs-CalPoly_2009-11-02T20:00:00Z","2009-11-02T20:00:00Z","CP091102","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-11-09T20:00:00Z","HABs-CalPoly_2009-11-09T20:00:00Z","2009-11-09T20:00:00Z","CP091109","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-11-16T20:00:00Z","HABs-CalPoly_2009-11-16T20:00:00Z","2009-11-16T20:00:00Z","CP091116","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-11-23T20:00:00Z","HABs-CalPoly_2009-11-23T20:00:00Z","2009-11-23T20:00:00Z","CP091123","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-11-30T20:00:00Z","HABs-CalPoly_2009-11-30T20:00:00Z","2009-11-30T20:00:00Z","CP091130","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2009-12-07T20:00:00Z","HABs-CalPoly_2009-12-07T20:00:00Z","2009-12-07T20:00:00Z","CP091207","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
